error,FailedBinding,Failed to bind pod: No Affinity,cluster-omega-4
warning,FailedScheduling,Insufficient resources: Ephemeral storage and Memory,cluster-alpha-5
error,FailedCreatePodSandBox,Failed to create pod sandbox: disk pressure,cluster-beta-5
warning,Unhealthy,No probe found,cluster-gamma-5
error,BackOff,Back-off restarting init containers,cluster-delta-5
warning,FailedMount,MountVolume.SetUp failed: not mounted,cluster-epsilon-5
error,FailedAttachVolume,AttachVolume.Mount failed,cluster-zeta-5
warning,FailedSync,Error syncing pod containers,cluster-eta-5
error,ImagePullBackOff,Failed to pull image: registry connection error,cluster-theta-5
warning,NodeOutOfDisk,Node is out of disk,cluster-iota-5
error,FailedBinding,Failed to bind pod: missing node selector,cluster-kappa-5
warning,FailedScheduling,Insufficient resources: extended resource,cluster-lambda-5
error,FailedCreatePodSandBox,Failed to create pod sandbox: exceeded limits,cluster-mu-5
warning,Unhealthy,Container missing probe,cluster-nu-5
error,CrashLoopBackOff,Container was OOMKilled,cluster-xi-5
warning,FailedMount,MountVolume.WaitForAttach failed: timeout,cluster-omicron-5
error,FailedAttachVolume,AttachVolume.Detach failed: device not found,cluster-pi-5
warning,FailedSync,Error syncing container status: unknown error,cluster-rho-5
error,ErrImagePull,Failed to pull image: unsupported scheme,cluster-sigma-5
warning,NodeDiskPressure,Node is under disk pressure: full,cluster-tau-5
error,FailedBinding,Failed to bind pod: missing volume mount,cluster-upsilon-5
warning,FailedScheduling,Insufficient resources: CPU and Ephemeral storage,cluster-phi-5
error,FailedCreatePodSandBox,Failed to create pod sandbox: quota issue,cluster-chi-5
warning,Unhealthy,Container port probe failed: timeout,cluster-psi-5
error,BackOff,Back-off restarting pod: exceeded limits,cluster-omega-5
